127.0.0.1 - - [06/Jun/2023:12:10:40 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/ HTTP/1.1" 200 34046
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/images/sl3.jpg HTTP/1.1" 200 92060
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/css/style.css HTTP/1.1" 200 405488
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/js/hoverable-collapse.js HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/js/off-canvas.js HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/js/misc.js HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/images/arrow.png HTTP/1.1" 200 4983
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/images/sl2.jpg HTTP/1.1" 200 96987
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:10:41 +0530] "GET /DataSharing/images/bigdata.png HTTP/1.1" 200 476649
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:11:00 +0530] "GET /DataSharing/ HTTP/1.1" 200 34046
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:11:00 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:11:00 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:11:00 +0530] "GET /DataSharing/css/style.css HTTP/1.1" 200 405488
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:11:00 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
